title,authors,year,doi,journal
Topography alters tree growth–climate relationships in a semi-arid forested catchment,"Adams H. R., Brnard H. R., and Loomis A. K. ",2014,0.1890/ES14-00296.1,"Ecosphere, Volume "
How does reach-scale stream-hyporheic transport vary with discharge? Insights from rSAS analysis of sequential tracer injections in a headwater mountain stream,"Harman, C.J., Ward, A.S., and Ball, A. ",2016,10.1002/ 2016WR018832,Water Resources Research
Hydropedology and Surface/Subsurface Runoff Processes.,"Lin, H.S., Brook,  E., McDaniel, P., and Boll, J. ",2008,10.1002/0470848944.hsa306,"In M. G. Anderson (Editor-in-Chief) Encyclopedia of Hydrologic Sciences. John Wiley & Sons, Ltd."
Separating physical and meteorological controls of variable transit times in zero-order catchments,"Heidbüchel I., Troch P.A., Lyon S.W. ",2013,10.1002/2012WR013149,Water Resources Research
Power law scaling of topographic depressions and their hydrologic connectivity,"Phong, V. V. Le and Praveen Kumar, P. ",2014,10.1002/2013GL059114,l
"Analysis and modeling of gully headcut dynamics, North American high plains","Rengers, F. K., & Tucker, G. E. ",2014,10.1002/2013JF002962,"Journal of Geophysical Research: Earth Surface, "
Separate effects of flooding and anaerobiosis on soil greenhouse gas emissions and redox sensitive biogeochemistry,"Gavin McNicol, Whendee L. Silver ",2014,10.1002/2013JG002433,Journal of Geophysical Research: Biogeosciences
Structure and processes controlling resource islands and microtopography on semi-arid hillslopes.,"Harman, C., Lohse, K.A., Troch, P., and M. Sivapalan ",2014,10.1002/2013JG002507,Journal of Geophysical Research Biogeosciences
"Spatial patterns of vegetation, soils and microtopography from terrestrial laser scanning on two semi-arid hillslopes of contrasting lithology","Harman C.J., Lohse K.A., Troch P.A., Sivapalan M. ",2014,10.1002/2013JG002507,Journal of Geophysical Research: Biogeosciences
"Spatial patterns of vegetation, soils and microtopography from terrestrial laser scanning on two semi-arid hillslopes of contrasting lithology","Harman C.J., Lohse K.A., Troch P.A., Sivapalan M. ",2014,10.1002/2013JG002507,Journal of Geophysical Research: Biogeosciences
"Spatial patterns of vegetation, soils and microtopography from terrestrial laser scanning on two semi-arid hillslopes of contrasting lithology","Harman C.J., Lohse K.A., Troch P.A., Sivapalan M. ",2014,10.1002/2013JG002507,Journal of Geophysical Research: Biogeosciences
Structure and processes controlling resource islands and microtopography on semi-arid hillslopes.,"Harman, C., Lohse, K.A., Troch, P., and M. Sivapalan ",2014,10.1002/2013JG002507,Journal of Geophysical Research Biogeosciences
Nitrogen retention and transport differ by hillslope aspect at the rain-snow transition of the Colorado Front Range,"Hinckley, E.-L., Barnes, R.T., Anderson, S.P., Williams, M.W., and Bernasconi, S. ",2014,10.1002/2013JG002588,Journal of Geophysical Research Biogeosciences
A coupled geochemical and biogeochemical approach to characterize the bioreactivity of dissolved organic matter from a headwater stream,"Sleighter, R. L., R. M. Cory, L. A. Kaplan, H. A. N. Abdulla, and P. G. Hatcher ",2014,10.1002/2013JG002600,Journal of Geophysical Research: Biogeochemistry
LiDAR-derived snowpack data sets from mixed conifer forests across the Western United States,"Harpold, A.A., Q. Guo, N. Molotch, P. D. Brooks, R. Bales, J.C. Fernandez-Diaz, K.N. Musselman, and T.L. Swetnam, P. Kirchner, M. Meadows, J. Flanagan, R. Lucas ",2014,10.1002/2013WR013935,Water Resources Research
